Name,Name2,Primary Type,Secondary type,Attack,Defense,HP,Sp.Attack,Sp.Defense,Speed,Total
Mimikyu,,GHOST,FAIRY,90,80,55,50,105,96,476
Bruxish,,WATER,PSYCHIC,105,70,68,70,70,92,475
Drampa,,NORMAL,DRAGON,60,85,78,135,91,36,485
Dhelmise,,GHOST,GRASS,131,100,70,86,90,40,517
Jangmo-o,,DRAGON,,55,65,45,45,45,45,300
Hakamo-o,,DRAGON,FIGHTING,75,90,55,65,70,65,420
Kommo-o,,DRAGON,FIGHTING,110,125,75,100,105,85,600
Tapu Koko,,ELECTRIC,FAIRY,115,85,70,95,75,130,570
Tapu Lele,,PSYCHIC,FAIRY,85,75,70,130,115,95,570
Tapu Bulu,,GRASS,FAIRY,130,115,70,85,95,75,570
Tapu Fini,,WATER,FAIRY,75,115,70,95,130,85,570
Cosmog,,PSYCHIC,,29,31,43,29,31,37,200
Cosmoem,,PSYCHIC,,29,131,43,29,131,37,400
Solgaleo,,PSYCHIC,STEEL,137,107,137,113,89,97,680
Lunala,,PSYCHIC,GHOST,113,89,137,137,107,97,680
Nihilego,,ROCK,POISON,53,47,109,127,131,103,570
Buzzwole,,BUG,FIGHTING,139,139,107,53,53,79,570
Pheromosa,,BUG,FIGHTING,137,37,71,137,37,151,570
Xurkitree,,ELECTRIC,,89,71,83,173,71,83,570
Celesteela,,STEEL,FLYING,101,103,97,107,101,61,570
Kartana,,GRASS,STEEL,181,131,59,59,31,109,570
Guzzlord,,DARK,DRAGON,101,53,223,97,53,43,570
Necrozma,,PSYCHIC,,107,101,97,127,89,79,600
Necrozma,Dusk Mane Necrozma,PSYCHIC,STEEL,157,127,97,113,109,77,680
Necrozma,Dawn Wings Necrozma,PSYCHIC,GHOST,113,109,97,157,127,77,680
Necrozma,Ultra Necrozma,PSYCHIC,DRAGON,167,97,97,167,97,129,754
Magearna,,STEEL,FAIRY,95,115,80,130,115,65,600
Marshadow,,FIGHTING,GHOST,125,80,90,90,90,125,600
Poipole,,POISON,,73,67,67,73,67,73,420
Naganadel,,POISON,DRAGON,73,73,73,127,73,121,540
Stakataka,,ROCK,STEEL,131,211,61,53,101,13,570
Blacephalon,,FIRE,GHOST,127,53,53,151,79,107,570
Zeraora,,ELECTRIC,,112,75,88,102,80,143,600
Meltan,,STEEL,,65,65,46,55,35,34,300
Melmetal,,STEEL,,143,143,135,80,65,34,600
Grookey,,GRASS,,65,50,50,40,40,65,310
Thwackey,,GRASS,,85,70,70,55,60,80,420
Rillaboom,,GRASS,,125,90,100,60,70,85,530
Scorbunny,,FIRE,,71,40,50,40,40,69,310
Raboot,,FIRE,,86,60,65,55,60,94,420
Cinderace,,FIRE,,116,75,80,65,75,119,530
Sobble,,WATER,,40,40,50,70,40,70,310
Drizzile,,WATER,,60,55,65,95,55,90,420
Inteleon,,WATER,,85,65,70,125,65,120,530
Skwovet,,NORMAL,,55,55,70,35,35,25,275
Greedent,,NORMAL,,95,95,120,55,75,20,460
Rookidee,,FLYING,,47,35,38,33,35,57,245
Corvisquire,,FLYING,,67,55,68,43,55,77,365
Corviknight,,FLYING,STEEL,87,105,98,53,85,67,495
Blipbug,,BUG,,20,20,25,25,45,45,180
Dottler,,BUG,PSYCHIC,35,80,50,50,90,30,335
Orbeetle,,BUG,PSYCHIC,45,110,60,80,120,90,505
Nickit,,DARK,,28,28,40,47,52,50,245
Thievul,,DARK,,58,58,70,87,92,90,455
Gossifleur,,GRASS,,40,60,40,40,60,10,250
Eldegoss,,GRASS,,50,90,60,80,120,60,460
Wooloo,,NORMAL,,40,55,42,40,45,48,270
Dubwool,,NORMAL,,80,100,72,60,90,88,490
Chewtle,,WATER,,64,50,50,38,38,44,284
Drednaw,,WATER,ROCK,115,90,90,48,68,74,485
Yamper,,ELECTRIC,,45,50,59,40,50,26,270
Boltund,,ELECTRIC,,90,60,69,90,60,121,490
Rolycoly,,ROCK,,40,50,30,40,50,30,240
Carkol,,ROCK,FIRE,60,90,80,60,70,50,410
Coalossal,,ROCK,FIRE,80,120,110,80,90,30,510
Applin,,GRASS,DRAGON,40,80,40,40,40,20,260
Flapple,,GRASS,DRAGON,110,80,70,95,60,70,485
Appletun,,GRASS,DRAGON,85,80,110,100,80,30,485
Silicobra,,GROUND,,57,75,52,35,50,46,315
Sandaconda,,GROUND,,107,125,72,65,70,71,510
Cramorant,,FLYING,WATER,85,55,70,85,95,85,475
Arrokuda,,WATER,,63,40,41,40,30,66,280
Barraskewda,,WATER,,123,60,61,60,50,136,490
Toxel,,ELECTRIC,POISON,38,35,40,54,35,40,242
Toxtricity,Low Key Form,ELECTRIC,POISON,98,70,75,114,70,75,502
Toxtricity,Amped Form,ELECTRIC,POISON,98,70,75,114,70,75,502
Sizzlipede,,FIRE,BUG,65,45,50,50,50,45,305
Centiskorch,,FIRE,BUG,115,65,100,90,90,65,525
Clobbopus,,FIGHTING,,68,60,50,50,50,32,310
Grapploct,,FIGHTING,,118,90,80,70,80,42,480
Sinistea,,GHOST,,45,45,40,74,54,50,308
Polteageist,,GHOST,,65,65,60,134,114,70,508
Hatenna,,PSYCHIC,,30,45,42,56,53,39,265
Hattrem,,PSYCHIC,,40,65,57,86,73,49,370
Hatterene,,PSYCHIC,FAIRY,90,95,57,136,103,29,510
Impidimp,,DARK,FAIRY,45,30,45,55,40,50,265
Morgrem,,DARK,FAIRY,60,45,65,75,55,70,370
Grimmsnarl,,DARK,FAIRY,120,65,95,95,75,60,510
Obstagoon,,DARK,NORMAL,90,101,93,60,81,95,520
Perrserker,,STEEL,,110,100,70,50,60,50,440
Cursola,,GHOST,,95,50,60,145,130,30,510
Sirfetch'd,,FIGHTING,,135,95,62,68,82,65,507
Mr. Rime,,ICE,PSYCHIC,85,75,80,110,100,70,520
Runerigus,,GROUND,GHOST,95,145,58,50,105,30,483
Milcery,,FAIRY,,40,40,45,50,61,34,270
Alcremie,,FAIRY,,60,75,65,110,121,64,495
Falinks,,FIGHTING,,100,100,65,70,60,75,470
Pincurchin,,ELECTRIC,,101,95,48,91,85,15,435
Snom,,ICE,BUG,25,35,30,45,30,20,185
Frosmoth,,ICE,BUG,65,60,70,125,90,65,475
Stonjourner,,ROCK,,125,135,100,20,20,70,470
Eiscue,Ice Face,ICE,,80,110,75,65,90,50,470
Eiscue,Noice Face,ICE,,80,70,75,65,50,130,470
Indeedee,Male,PSYCHIC,NORMAL,65,55,60,105,95,95,475
Indeedee,Female,PSYCHIC,NORMAL,55,65,70,95,105,85,475
Morpeko,Full Belly Mode,ELECTRIC,DARK,95,58,58,70,58,97,436
Morpeko,Hangry Mode,ELECTRIC,DARK,95,58,58,70,58,97,436
Cufant,,STEEL,,80,49,72,40,49,40,330
Copperajah,,STEEL,,130,69,122,80,69,30,500
Dracozolt,,ELECTRIC,DRAGON,100,90,90,80,70,75,505
Arctozolt,,ELECTRIC,ICE,100,90,90,90,80,55,505
Dracovish,,WATER,DRAGON,90,100,90,70,80,75,505
Arctovish,,WATER,ICE,90,100,90,80,90,55,505
Duraludon,,STEEL,DRAGON,95,115,70,120,50,85,535
Dreepy,,DRAGON,GHOST,60,30,28,40,30,82,270
Drakloak,,DRAGON,GHOST,80,50,68,60,50,102,410
Dragapult,,DRAGON,GHOST,120,75,88,100,75,142,600
Zacian,Crowned Sword,FAIRY,STEEL,170,115,92,80,115,148,720
Zacian,Hero of Many Battles,FAIRY,,130,115,92,80,115,138,670
Zamazenta,Crowned Shield,FIGHTING,STEEL,130,145,92,80,145,128,720
Zamazenta,Hero of Many Battles,FIGHTING,,130,115,92,80,115,138,670
Eternatus,,POISON,DRAGON,85,95,140,145,95,130,690
Eternatus,Eternamax,POISON,DRAGON,115,250,255,125,250,130,1125
Kubfu,,FIGHTING,,90,60,60,53,50,72,385
Urshifu,Single Strike Style,FIGHTING,DARK,130,100,100,63,60,97,550
Urshifu,Rapid Strike Style,FIGHTING,WATER,130,100,100,63,60,97,550
Zarude,,DARK,GRASS,120,105,105,70,95,105,600
Regieleki,,ELECTRIC,,100,50,80,100,50,200,580
Regidrago,,DRAGON,,100,50,200,100,50,80,580
Glastrier,,ICE,,145,130,100,65,110,30,580
Spectrier,,GHOST,,65,60,100,145,80,130,580
Calyrex,,PSYCHIC,GRASS,80,80,100,80,80,80,500
Calyrex,Ice Rider,PSYCHIC,ICE,165,150,100,85,130,50,680
Calyrex,Shadow Rider,PSYCHIC,GHOST,85,80,100,165,100,150,680
